id,type_key,is_default,name_he,מחיר ליחידה (₪),משקל למטר/יחידה,פחת,type,product_type
cd0492d2-e75d-401d-a943-6c3f73d65042,connection_angle_10cm_for_base,FALSE,"זוית חיבור 10 ס""מ לבסיס",1.05,,,אביזרי עזר,material
ce8258c8-4b6d-4cd4-8fb1-a1bf9284cee4,circuit_breaker_100a,FALSE,Circuit Breaker 100A,480,,,חשמל - ארונות,material
d28cf1e7-760f-4003-ad1b-eb94696dd328,torx_sharp_screw_for_wood_roof_10cm,FALSE,בורג טורקס שפיץ לגג עץ 10סמ,0.85,,,ברגים,material
d34ee10c-48d1-4f4a-862b-4a184b6aec53,distribution_board_11_holes,FALSE,"ארון פה""פ 11 חורים",0,,,חשמל - ארונות,material
d7c65c1e-c5d4-4ad1-885d-5003aea219ca,meter_panel_25a,FALSE,ארון מונה 25A,0,,,חשמל - ארונות,material
d9cb57bf-e041-48cb-963f-6cca9d907f27,jumbo_5x16,TRUE,בורג ג'מבו (16*5),1.5,,,ברגים,material
dab77273-bae7-478b-8f23-d1a274d88cd7,end_panel_clamp,FALSE,מהדק פאנל קצה,4.5,,,מהדקים,material
db03489c-ab79-4844-94e8-fbe6a7f4937a,grounding_panel_clamp,FALSE,מהדק פאנל הארקה,6,,,מהדקים,material
dd45bafc-fab2-446f-910a-c61a2e6079e2,hex_head_bolt_m8x20,FALSE,בורג ראש משושה M8*20,0.52,,,ברגים,material
e0036873-8404-42b9-bdea-a317a6aa540b,self_drilling_screw_6cm_with_seal,FALSE,איסכורית קודח 6סמ עם אטם,0.6,,,ברגים,material
e9afbf2b-dfed-4424-ad6b-f2ce88514a38,distribution_board_7_holes,FALSE,"ארון פה""פ 7 חורים",175,,,חשמל - ארונות,material
ec0e81be-a218-483a-a79e-499cd8b3a13d,sharp_screw_7_5cm,FALSE,בורג שפיץ עם אטם 12.5סמ,0.9,,,ברגים,material
ed273c78-1c7f-41bd-9933-8da7f2b631b1,cable_6mm_red,FALSE,כבל 6 ממ אדום,4,,,חשמל - שחור,material
edf087f6-c411-4f5b-84dd-6088299a3f84,yellow_green_copper_25mm,FALSE,נחושת צהוב\ירוק 25 ממ,0,,,חשמל - שחור,material
ee30e749-e75b-4e59-a4c8-2f2d472e21d2,angle_connector_10cm,FALSE,מחבר זווית 10 ס'מ,0,0.1,,אלומיניום,material
f018574a-445a-4315-9574-6ea1cbc16710,depreciation_waste,FALSE,פחת,16.5,,4,אלומיניום,material
